Id,DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,InformationType,Year,WashingtoniansAffectedRange,BreachLifecycleRange
9565,3/15/2018 0:00,4/24/2018 0:00,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Financial & Banking Information,2018,"1,000-9,999",100-199
9565,3/15/2018 0:00,4/24/2018 0:00,Cyberattack,2017-09-27T00:00:00,2017-10-12T00:00:00,Sears Holdings,Malware,2373,Business,Retail,Other,2018,"1,000-9,999",100-199
9566,3/29/2018 0:00,4/26/2018 0:00,Cyberattack,2017-07-01T00:00:00,2018-03-31T00:00:00,Hudson's Bay Company,Malware,,Business,Retail,Name,2018,Unknown,200-299
9566,3/29/2018 0:00,4/26/2018 0:00,Cyberattack,2017-07-01T00:00:00,2018-03-31T00:00:00,Hudson's Bay Company,Malware,,Business,Retail,Financial & Banking Information,2018,Unknown,200-299
9567,2/16/2018 0:00,4/30/2018 0:00,Cyberattack,2017-11-29T00:00:00,2018-02-16T00:00:00,Rail Europe North America,,687,Business,Transportation,Name,2018,500-999,Jan-99
9567,2/16/2018 0:00,4/30/2018 0:00,Cyberattack,2017-11-29T00:00:00,2018-02-16T00:00:00,Rail Europe North America,,687,Business,Transportation,Financial & Banking Information,2018,500-999,Jan-99
9567,2/16/2018 0:00,4/30/2018 0:00,Cyberattack,2017-11-29T00:00:00,2018-02-16T00:00:00,Rail Europe North America,,687,Business,Transportation,Username and Password/Security Question Answers,2018,500-999,Jan-99
9567,2/16/2018 0:00,4/30/2018 0:00,Cyberattack,2017-11-29T00:00:00,2018-02-16T00:00:00,Rail Europe North America,,687,Business,Transportation,Other,2018,500-999,Jan-99
9569,3/19/2018 0:00,5/3/2018 0:00,Cyberattack,2017-10-01T00:00:00,2017-12-22T00:00:00,Alaska Airlines,,1442,Business,Transportation,Name,2018,"1,000-9,999",100-199
9569,3/19/2018 0:00,5/3/2018 0:00,Cyberattack,2017-10-01T00:00:00,2017-12-22T00:00:00,Alaska Airlines,,1442,Business,Transportation,Financial & Banking Information,2018,"1,000-9,999",100-199
9569,3/19/2018 0:00,5/3/2018 0:00,Cyberattack,2017-10-01T00:00:00,2017-12-22T00:00:00,Alaska Airlines,,1442,Business,Transportation,Full Date of Birth,2018,"1,000-9,999",100-199
9569,3/19/2018 0:00,5/3/2018 0:00,Cyberattack,2017-10-01T00:00:00,2017-12-22T00:00:00,Alaska Airlines,,1442,Business,Transportation,Other,2018,"1,000-9,999",100-199
9570,2/1/2018 0:00,5/8/2018 0:00,Theft or Mistake,2017-12-31T00:00:00,2018-01-31T00:00:00,Global University,,5679,Education,,Name,2018,"1,000-9,999",Jan-99
9570,2/1/2018 0:00,5/8/2018 0:00,Theft or Mistake,2017-12-31T00:00:00,2018-01-31T00:00:00,Global University,,5679,Education,,Social Security Number,2018,"1,000-9,999",Jan-99
9571,4/21/2018 0:00,5/9/2018 0:00,Theft or Mistake,,,H&R Block,,2655,Finance,,Name,2018,"1,000-9,999",Unknown
9571,4/21/2018 0:00,5/9/2018 0:00,Theft or Mistake,,,H&R Block,,2655,Finance,,Social Security Number,2018,"1,000-9,999",Unknown
9571,4/21/2018 0:00,5/9/2018 0:00,Theft or Mistake,,,H&R Block,,2655,Finance,,Financial & Banking Information,2018,"1,000-9,999",Unknown
9571,4/21/2018 0:00,5/9/2018 0:00,Theft or Mistake,,,H&R Block,,2655,Finance,,Other,2018,"1,000-9,999",Unknown
9572,4/12/2018 0:00,5/9/2018 0:00,Unauthorized Access,,,"TaskRabbit, Inc.",,77618,Business,Home,Name,2018,"50,000-999,999",Unknown
9572,4/12/2018 0:00,5/9/2018 0:00,Unauthorized Access,,,"TaskRabbit, Inc.",,77618,Business,Home,Social Security Number,2018,"50,000-999,999",Unknown
9572,4/12/2018 0:00,5/9/2018 0:00,Unauthorized Access,,,"TaskRabbit, Inc.",,77618,Business,Home,Financial & Banking Information,2018,"50,000-999,999",Unknown
9572,4/12/2018 0:00,5/9/2018 0:00,Unauthorized Access,,,"TaskRabbit, Inc.",,77618,Business,Home,Username and Password/Security Question Answers,2018,"50,000-999,999",Unknown
9573,4/5/2018 0:00,5/17/2018 0:00,Cyberattack,2017-11-25T00:00:00,2017-11-25T00:00:00,Corporation Service Company,,4631,Business,Legal,Name,2018,"1,000-9,999",100-199
9573,4/5/2018 0:00,5/17/2018 0:00,Cyberattack,2017-11-25T00:00:00,2017-11-25T00:00:00,Corporation Service Company,,4631,Business,Legal,Social Security Number,2018,"1,000-9,999",100-199
9574,5/11/2018 0:00,5/18/2018 0:00,Cyberattack,2018-03-01T00:00:00,2018-04-01T00:00:00,Brinker International (Chilis),Malware,,Business,Hospitality,Name,2018,Unknown,Jan-99
9574,5/11/2018 0:00,5/18/2018 0:00,Cyberattack,2018-03-01T00:00:00,2018-04-01T00:00:00,Brinker International (Chilis),Malware,,Business,Hospitality,Financial & Banking Information,2018,Unknown,Jan-99
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Name,2018,500-999,0
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Social Security Number,2018,500-999,0
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Driver's License or Washington ID Card Number,2018,500-999,0
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Financial & Banking Information,2018,500-999,0
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Medical Information,2018,500-999,0
9576,5/1/2018 0:00,6/23/2018 0:00,Cyberattack,2018-05-01T00:00:00,2018-05-01T00:00:00,"Terteling Company, Inc.",Phishing,941,Business,Construction,Other,2018,500-999,0
9577,6/20/2018 0:00,6/29/2018 0:00,Unauthorized Access,,,Northwest University,,1434,Education,,Name,2018,"1,000-9,999",Unknown
9577,6/20/2018 0:00,6/29/2018 0:00,Unauthorized Access,,,Northwest University,,1434,Education,,Social Security Number,2018,"1,000-9,999",Unknown
9577,6/20/2018 0:00,6/29/2018 0:00,Unauthorized Access,,,Northwest University,,1434,Education,,Medical Information,2018,"1,000-9,999",Unknown
9577,6/20/2018 0:00,6/29/2018 0:00,Unauthorized Access,,,Northwest University,,1434,Education,,Other,2018,"1,000-9,999",Unknown
9578,6/11/2018 0:00,7/1/2018 0:00,Cyberattack,2018-04-26T00:00:00,2018-06-12T00:00:00,"Macy's, Inc.",,3564,Business,Retail,Name,2018,"1,000-9,999",Jan-99
9578,6/11/2018 0:00,7/1/2018 0:00,Cyberattack,2018-04-26T00:00:00,2018-06-12T00:00:00,"Macy's, Inc.",,3564,Business,Retail,Financial & Banking Information,2018,"1,000-9,999",Jan-99
9578,6/11/2018 0:00,7/1/2018 0:00,Cyberattack,2018-04-26T00:00:00,2018-06-12T00:00:00,"Macy's, Inc.",,3564,Business,Retail,Other,2018,"1,000-9,999",Jan-99
9579,4/11/2018 0:00,7/6/2018 0:00,Cyberattack,,,International Mission Board,,992,Non-Profit/Charity,,Name,2018,500-999,Unknown
9579,4/11/2018 0:00,7/6/2018 0:00,Cyberattack,,,International Mission Board,,992,Non-Profit/Charity,,Social Security Number,2018,500-999,Unknown
9579,4/11/2018 0:00,7/6/2018 0:00,Cyberattack,,,International Mission Board,,992,Non-Profit/Charity,,Full Date of Birth,2018,500-999,Unknown
9579,4/11/2018 0:00,7/6/2018 0:00,Cyberattack,,,International Mission Board,,992,Non-Profit/Charity,,Medical Information,2018,500-999,Unknown
9579,4/11/2018 0:00,7/6/2018 0:00,Cyberattack,,,International Mission Board,,992,Non-Profit/Charity,,Other,2018,500-999,Unknown
9581,5/11/2018 0:00,7/12/2018 0:00,Cyberattack,2018-05-11T00:00:00,,Overlake Arthritis and Osteoporosis Center,Malware,627,Health,,Name,2018,500-999,Unknown
9581,5/11/2018 0:00,7/12/2018 0:00,Cyberattack,2018-05-11T00:00:00,,Overlake Arthritis and Osteoporosis Center,Malware,627,Health,,Social Security Number,2018,500-999,Unknown
9581,5/11/2018 0:00,7/12/2018 0:00,Cyberattack,2018-05-11T00:00:00,,Overlake Arthritis and Osteoporosis Center,Malware,627,Health,,Medical Information,2018,500-999,Unknown
9581,5/11/2018 0:00,7/12/2018 0:00,Cyberattack,2018-05-11T00:00:00,,Overlake Arthritis and Osteoporosis Center,Malware,627,Health,,Other,2018,500-999,Unknown
9582,5/30/2015 0:00,8/11/2015 0:00,Theft or Mistake,2015-05-29T00:00:00,2015-05-29T00:00:00,Sterling BackCheck,,1419,Business,Human Resources,Name,2016,"1,000-9,999",Jan-99
9582,5/30/2015 0:00,8/11/2015 0:00,Theft or Mistake,2015-05-29T00:00:00,2015-05-29T00:00:00,Sterling BackCheck,,1419,Business,Human Resources,Social Security Number,2016,"1,000-9,999",Jan-99
9582,5/30/2015 0:00,8/11/2015 0:00,Theft or Mistake,2015-05-29T00:00:00,2015-05-29T00:00:00,Sterling BackCheck,,1419,Business,Human Resources,Full Date of Birth,2016,"1,000-9,999",Jan-99
9583,8/13/2015 0:00,8/18/2015 0:00,Cyberattack,,,Web.com Group,,1595,Business,Web Services,Name,2016,"1,000-9,999",Unknown
9583,8/13/2015 0:00,8/18/2015 0:00,Cyberattack,,,Web.com Group,,1595,Business,Web Services,Financial & Banking Information,2016,"1,000-9,999",Unknown
9583,8/13/2015 0:00,8/18/2015 0:00,Cyberattack,,,Web.com Group,,1595,Business,Web Services,Other,2016,"1,000-9,999",Unknown
9587,7/17/2015 0:00,9/22/2015 0:00,Unauthorized Access,2014-06-19T00:00:00,2015-07-15T00:00:00,Costco,,29425,Business,Retail,Name,2016,"10,000-49,999",300-399
9587,7/17/2015 0:00,9/22/2015 0:00,Unauthorized Access,2014-06-19T00:00:00,2015-07-15T00:00:00,Costco,,29425,Business,Retail,Username and Password/Security Question Answers,2016,"10,000-49,999",300-399
9587,7/17/2015 0:00,9/22/2015 0:00,Unauthorized Access,2014-06-19T00:00:00,2015-07-15T00:00:00,Costco,,29425,Business,Retail,Email Address and Password/Security Question Answers,2016,"10,000-49,999",300-399
9588,8/23/2015 0:00,9/26/2015 0:00,Theft or Mistake,2015-08-23T00:00:00,,"Sterbick & Associates, P.S.",,500,Business,Legal,Name,2016,500-999,Unknown
9588,8/23/2015 0:00,9/26/2015 0:00,Theft or Mistake,2015-08-23T00:00:00,,"Sterbick & Associates, P.S.",,500,Business,Legal,Social Security Number,2016,500-999,Unknown
9589,,9/29/2015 0:00,Unauthorized Access,2014-08-20T00:00:00,2015-07-14T00:00:00,Rite Aid Corporation,,2721,Business,Retail,Name,2016,"1,000-9,999",Unknown
9589,,9/29/2015 0:00,Unauthorized Access,2014-08-20T00:00:00,2015-07-14T00:00:00,Rite Aid Corporation,,2721,Business,Retail,Financial & Banking Information,2016,"1,000-9,999",Unknown
9589,,9/29/2015 0:00,Unauthorized Access,2014-08-20T00:00:00,2015-07-14T00:00:00,Rite Aid Corporation,,2721,Business,Retail,Email Address and Password/Security Question Answers,2016,"1,000-9,999",Unknown
9589,,9/29/2015 0:00,Unauthorized Access,2014-08-20T00:00:00,2015-07-14T00:00:00,Rite Aid Corporation,,2721,Business,Retail,Other,2016,"1,000-9,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Name,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Social Security Number,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Driver's License or Washington ID Card Number,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Full Date of Birth,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Military ID Number,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Passport Number,2016,"50,000-999,999",Unknown
9591,9/21/2015 0:00,10/1/2015 0:00,Unauthorized Access,2015-09-15T00:00:00,,T-Mobile USA/Experian,,328889,Business,Telecommunications,Other,2016,"50,000-999,999",Unknown
9653,3/17/2016 0:00,11/11/2016 0:00,Cyberattack,,,Charles Schwab,Other,975,Finance,,Name,2017,500-999,Unknown
9653,3/17/2016 0:00,11/11/2016 0:00,Cyberattack,,,Charles Schwab,Other,975,Finance,,Financial & Banking Information,2017,500-999,Unknown
9653,3/17/2016 0:00,11/11/2016 0:00,Cyberattack,,,Charles Schwab,Other,975,Finance,,Other,2017,500-999,Unknown
9594,6/18/2015 0:00,10/13/2015 0:00,Cyberattack,2015-03-24T00:00:00,2015-05-20T00:00:00,"Service Systems Associates, Inc.",Malware,,Business,Hospitality,Name,2016,Unknown,Jan-99
9594,6/18/2015 0:00,10/13/2015 0:00,Cyberattack,2015-03-24T00:00:00,2015-05-20T00:00:00,"Service Systems Associates, Inc.",Malware,,Business,Hospitality,Financial & Banking Information,2016,Unknown,Jan-99
9595,10/9/2015 0:00,10/28/2015 0:00,Cyberattack,2015-04-19T00:00:00,2015-09-30T00:00:00,"Digital Theatre, LLC",Malware,3230,Business,Entertainment,Name,2016,"1,000-9,999",100-199
9595,10/9/2015 0:00,10/28/2015 0:00,Cyberattack,2015-04-19T00:00:00,2015-09-30T00:00:00,"Digital Theatre, LLC",Malware,3230,Business,Entertainment,Financial & Banking Information,2016,"1,000-9,999",100-199
9595,10/9/2015 0:00,10/28/2015 0:00,Cyberattack,2015-04-19T00:00:00,2015-09-30T00:00:00,"Digital Theatre, LLC",Malware,3230,Business,Entertainment,Other,2016,"1,000-9,999",100-199
9597,,11/13/2015 0:00,Cyberattack,2014-12-29T00:00:00,2015-08-11T00:00:00,Noble House Hotels and Resorts,Malware,4555,Business,Hospitality,Name,2016,"1,000-9,999",Unknown
9597,,11/13/2015 0:00,Cyberattack,2014-12-29T00:00:00,2015-08-11T00:00:00,Noble House Hotels and Resorts,Malware,4555,Business,Hospitality,Financial & Banking Information,2016,"1,000-9,999",Unknown
9598,2/10/2015 0:00,11/24/2015 0:00,Cyberattack,,,"Hilton Worldwide, Inc.",Malware,,Business,Hospitality,Name,2016,Unknown,Unknown
9598,2/10/2015 0:00,11/24/2015 0:00,Cyberattack,,,"Hilton Worldwide, Inc.",Malware,,Business,Hospitality,Financial & Banking Information,2016,Unknown,Unknown
9598,2/10/2015 0:00,11/24/2015 0:00,Cyberattack,,,"Hilton Worldwide, Inc.",Malware,,Business,Hospitality,Other,2016,Unknown,Unknown
9599,,11/30/2015 0:00,Cyberattack,2015-01-22T00:00:00,2015-07-20T00:00:00,Muji,Malware,664,Business,Retail,Name,2016,500-999,Unknown
9599,,11/30/2015 0:00,Cyberattack,2015-01-22T00:00:00,2015-07-20T00:00:00,Muji,Malware,664,Business,Retail,Financial & Banking Information,2016,500-999,Unknown
9599,,11/30/2015 0:00,Cyberattack,2015-01-22T00:00:00,2015-07-20T00:00:00,Muji,Malware,664,Business,Retail,Other,2016,500-999,Unknown
9601,8/4/2015 0:00,12/18/2015 0:00,Unauthorized Access,2014-07-15T00:00:00,2014-08-05T00:00:00,"Yapstone, Inc.",,5264,Business,Web Services,Name,2016,"1,000-9,999",300-399
9601,8/4/2015 0:00,12/18/2015 0:00,Unauthorized Access,2014-07-15T00:00:00,2014-08-05T00:00:00,"Yapstone, Inc.",,5264,Business,Web Services,Social Security Number,2016,"1,000-9,999",300-399
9601,8/4/2015 0:00,12/18/2015 0:00,Unauthorized Access,2014-07-15T00:00:00,2014-08-05T00:00:00,"Yapstone, Inc.",,5264,Business,Web Services,Driver's License or Washington ID Card Number,2016,"1,000-9,999",300-399
9601,8/4/2015 0:00,12/18/2015 0:00,Unauthorized Access,2014-07-15T00:00:00,2014-08-05T00:00:00,"Yapstone, Inc.",,5264,Business,Web Services,Financial & Banking Information,2016,"1,000-9,999",300-399
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Name,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Social Security Number,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Financial & Banking Information,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Full Date of Birth,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Passport Number,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Medical Information,2016,"1,000-9,999",Unknown
9602,12/7/2015 0:00,12/23/2015 0:00,Theft or Mistake,2015-11-09T00:00:00,,"Matson Navigation Company, Inc. and Horizon Lines",,2185,Business,Shipping,Other,2016,"1,000-9,999",Unknown
9604,12/10/2015 0:00,1/13/2016 0:00,Unauthorized Access,2015-12-07T00:00:00,2015-12-08T00:00:00,HSBC Bank USA,,5270,Finance,,Name,2016,"1,000-9,999",Jan-99
9604,12/10/2015 0:00,1/13/2016 0:00,Unauthorized Access,2015-12-07T00:00:00,2015-12-08T00:00:00,HSBC Bank USA,,5270,Finance,,Social Security Number,2016,"1,000-9,999",Jan-99
9604,12/10/2015 0:00,1/13/2016 0:00,Unauthorized Access,2015-12-07T00:00:00,2015-12-08T00:00:00,HSBC Bank USA,,5270,Finance,,Financial & Banking Information,2016,"1,000-9,999",Jan-99
9604,12/10/2015 0:00,1/13/2016 0:00,Unauthorized Access,2015-12-07T00:00:00,2015-12-08T00:00:00,HSBC Bank USA,,5270,Finance,,Other,2016,"1,000-9,999",Jan-99
9605,11/24/2015 0:00,1/14/2016 0:00,Cyberattack,2015-08-13T00:00:00,2015-12-08T00:00:00,Hyatt Hotels Corporation,Malware,15,Business,Hospitality,Name,2016,< 500,100-199
9605,11/24/2015 0:00,1/14/2016 0:00,Cyberattack,2015-08-13T00:00:00,2015-12-08T00:00:00,Hyatt Hotels Corporation,Malware,15,Business,Hospitality,Financial & Banking Information,2016,< 500,100-199
10499,7/7/2017 0:00,10/12/2017 0:00,Cyberattack,2017-03-18T00:00:00,2017-07-02T00:00:00,Hyatt Hotels Corporation,Skimmers,640,Business,Hospitality,Name,2018,500-999,100-199
10499,7/7/2017 0:00,10/12/2017 0:00,Cyberattack,2017-03-18T00:00:00,2017-07-02T00:00:00,Hyatt Hotels Corporation,Skimmers,640,Business,Hospitality,Financial & Banking Information,2018,500-999,100-199
9607,,1/22/2016 0:00,Cyberattack,,,Starwood Hotels and Resorts,Malware,,Business,Hospitality,Name,2016,Unknown,Unknown
9607,,1/22/2016 0:00,Cyberattack,,,Starwood Hotels and Resorts,Malware,,Business,Hospitality,Financial & Banking Information,2016,Unknown,Unknown
9608,12/3/2015 0:00,1/29/2016 0:00,Cyberattack,2014-05-04T00:00:00,2015-12-03T00:00:00,"Landry's, Inc.",Skimmers,,Business,Hospitality,Name,2016,Unknown,500+
9608,12/3/2015 0:00,1/29/2016 0:00,Cyberattack,2014-05-04T00:00:00,2015-12-03T00:00:00,"Landry's, Inc.",Skimmers,,Business,Hospitality,Financial & Banking Information,2016,Unknown,500+
9609,,2/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,2015-12-18T00:00:00,"Gyft, Inc.",,9042,Business,Retail,Name,2016,"1,000-9,999",Unknown
9609,,2/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,2015-12-18T00:00:00,"Gyft, Inc.",,9042,Business,Retail,Full Date of Birth,2016,"1,000-9,999",Unknown
9609,,2/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,2015-12-18T00:00:00,"Gyft, Inc.",,9042,Business,Retail,Email Address and Password/Security Question Answers,2016,"1,000-9,999",Unknown
9609,,2/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,2015-12-18T00:00:00,"Gyft, Inc.",,9042,Business,Retail,Other,2016,"1,000-9,999",Unknown
9610,12/16/2015 0:00,2/9/2016 0:00,Unauthorized Access,2013-11-15T00:00:00,2015-12-24T00:00:00,Health Care Authority,,91187,Government,,Name,2016,"50,000-999,999",500+
9610,12/16/2015 0:00,2/9/2016 0:00,Unauthorized Access,2013-11-15T00:00:00,2015-12-24T00:00:00,Health Care Authority,,91187,Government,,Social Security Number,2016,"50,000-999,999",500+
9610,12/16/2015 0:00,2/9/2016 0:00,Unauthorized Access,2013-11-15T00:00:00,2015-12-24T00:00:00,Health Care Authority,,91187,Government,,Full Date of Birth,2016,"50,000-999,999",500+
9610,12/16/2015 0:00,2/9/2016 0:00,Unauthorized Access,2013-11-15T00:00:00,2015-12-24T00:00:00,Health Care Authority,,91187,Government,,Medical Information,2016,"50,000-999,999",500+
9610,12/16/2015 0:00,2/9/2016 0:00,Unauthorized Access,2013-11-15T00:00:00,2015-12-24T00:00:00,Health Care Authority,,91187,Government,,Other,2016,"50,000-999,999",500+
9611,11/13/2015 0:00,3/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,,21st Century Oncology,,2802,Health,,Name,2016,"1,000-9,999",Unknown
9611,11/13/2015 0:00,3/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,,21st Century Oncology,,2802,Health,,Social Security Number,2016,"1,000-9,999",Unknown
9611,11/13/2015 0:00,3/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,,21st Century Oncology,,2802,Health,,Health Insurance Policy or ID Number,2016,"1,000-9,999",Unknown
9611,11/13/2015 0:00,3/4/2016 0:00,Unauthorized Access,2015-10-03T00:00:00,,21st Century Oncology,,2802,Health,,Medical Information,2016,"1,000-9,999",Unknown
9612,3/2/2016 0:00,3/7/2016 0:00,Unauthorized Access,2016-03-02T00:00:00,,Turner Construction Company,,566,Business,Construction,Name,2016,500-999,Unknown
9612,3/2/2016 0:00,3/7/2016 0:00,Unauthorized Access,2016-03-02T00:00:00,,Turner Construction Company,,566,Business,Construction,Social Security Number,2016,500-999,Unknown
9612,3/2/2016 0:00,3/7/2016 0:00,Unauthorized Access,2016-03-02T00:00:00,,Turner Construction Company,,566,Business,Construction,Financial & Banking Information,2016,500-999,Unknown
9612,3/2/2016 0:00,3/7/2016 0:00,Unauthorized Access,2016-03-02T00:00:00,,Turner Construction Company,,566,Business,Construction,Other,2016,500-999,Unknown
9613,,3/14/2016 0:00,Cyberattack,2011-12-01T00:00:00,2016-01-26T00:00:00,"Bailey's, Inc.",Malware,8844,Business,Retail,Name,2016,"1,000-9,999",Unknown
9613,,3/14/2016 0:00,Cyberattack,2011-12-01T00:00:00,2016-01-26T00:00:00,"Bailey's, Inc.",Malware,8844,Business,Retail,Financial & Banking Information,2016,"1,000-9,999",Unknown
9613,,3/14/2016 0:00,Cyberattack,2011-12-01T00:00:00,2016-01-26T00:00:00,"Bailey's, Inc.",Malware,8844,Business,Retail,Username and Password/Security Question Answers,2016,"1,000-9,999",Unknown
9613,,3/14/2016 0:00,Cyberattack,2011-12-01T00:00:00,2016-01-26T00:00:00,"Bailey's, Inc.",Malware,8844,Business,Retail,Email Address and Password/Security Question Answers,2016,"1,000-9,999",Unknown
9613,,3/14/2016 0:00,Cyberattack,2011-12-01T00:00:00,2016-01-26T00:00:00,"Bailey's, Inc.",Malware,8844,Business,Retail,Other,2016,"1,000-9,999",Unknown
9614,3/7/2016 0:00,3/15/2016 0:00,Cyberattack,2016-03-07T00:00:00,2016-03-07T00:00:00,Advance Auto Parts,Phishing,544,Business,Retail,Name,2016,500-999,0
9614,3/7/2016 0:00,3/15/2016 0:00,Cyberattack,2016-03-07T00:00:00,2016-03-07T00:00:00,Advance Auto Parts,Phishing,544,Business,Retail,Social Security Number,2016,500-999,0
9614,3/7/2016 0:00,3/15/2016 0:00,Cyberattack,2016-03-07T00:00:00,2016-03-07T00:00:00,Advance Auto Parts,Phishing,544,Business,Retail,Financial & Banking Information,2016,500-999,0
9614,3/7/2016 0:00,3/15/2016 0:00,Cyberattack,2016-03-07T00:00:00,2016-03-07T00:00:00,Advance Auto Parts,Phishing,544,Business,Retail,Other,2016,500-999,0
